"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000262313",0,0,0,8,20,19,0.00711592946341461,"AC127496.3",8061,NA
"ENSG00000200714",0,0,0,13,26,9,0.00711605840379573,"Y_RNA",8062,NA
"ENSG00000224764",0,0,0,13,26,9,0.00711605840379573,"AL353768.1",8063,NA
"ENSG00000237586",0,0,1,10,6,80,0.00713463351832309,"AC090192.1",8065,NA
"ENSG00000207701",0,0,0,17,12,15,0.00717509411794776,"MIR597",8072,NA
"ENSG00000206687",0,0,0,8,10,35,0.00718054458641536,"RNU1-109P",8073,NA
"ENSG00000270764",0,0,0,21,8,18,0.00719965184725882,"AC005070.1",8078,NA
"ENSG00000225822",0,0,0,10,19,16,0.00722071902597612,"UBXN7-AS1",8080,NA
"ENSG00000264572",0,0,0,16,19,10,0.00723310280368011,"MIR4296",8082,NA
"ENSG00000213864",0,0,0,6,23,21,0.00724945463935557,"EEF1B2P2",8085,NA
"ENSG00000265939",0,0,0,18,14,12,0.00729493361892019,"UBE2CP2",8097,NA
