"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000149639",157,112,167,4020,6563,4047,2.48004822682307e-13,"SOGA1",231,-122
"ENSG00000095059",1110,891,1755,289,155,161,2.66926939490179e-13,"DHPS",232,17954
"ENSG00000149289",4,10,38,2040,936,2730,3.10323940060554e-13,"ZC3H12C",233,-123
"ENSG00000102098",23,9,14,1355,833,1007,3.14976354324072e-13,"SCML2",234,-141
"ENSG00000173868",9519,7747,3803,157,262,37,3.15214845992964e-13,"PHOSPHO1",235,-127
"ENSG00000245060",436,419,938,90,124,118,3.15214845992964e-13,"LINC00847",236,12097
"ENSG00000140264",5145,8499,17967,1397,1811,1516,3.49422013814885e-13,"SERF2",237,27
"ENSG00000167768",2730,1430,168,6,6,0,3.53652551432237e-13,"KRT1",238,-135
"ENSG00000136205",242,315,498,7211,7177,4953,3.80932352060362e-13,"TNS3",239,-105
"ENSG00000215440",1781,1399,3946,292,434,209,3.92646788797879e-13,"NPEPL1",240,2877
"ENSG00000231999",22,18,33,674,617,916,4.01796909132779e-13,"LRRC8C-DT",241,920
"ENSG00000203896",1910,2824,759,94,46,46,4.17875389777797e-13,"LIME1",242,3894
"ENSG00000260852",19,15,25,625,496,690,4.17875389777797e-13,"FBXL19-AS1",243,-28
"ENSG00000230084",4,11,11,743,388,809,4.43488366234151e-13,"AC006059.1",244,309
"ENSG00000115607",2713,10020,73036,328,48,61,4.6124537317859e-13,"IL18RAP",245,-130
"ENSG00000230322",3,2,2,369,260,304,4.85429845267454e-13,"AL136320.1",246,741
"ENSG00000204632",236,357,377,38,14,30,5.30380209674529e-13,"HLA-G",247,1569
"ENSG00000205155",522,867,4289,32,71,70,5.66984518560397e-13,"PSENEN",248,1377
"ENSG00000242094",2,0,9,432,677,618,5.69920629116347e-13,"FOXP1-IT1",249,-33
"ENSG00000179240",7,6,16,938,337,1066,6.53198356948365e-13,"GVQW3",250,1472
"ENSG00000128833",11,16,9,1202,837,587,7.24928807263768e-13,"MYO5C",251,-67
"ENSG00000204524",10,28,36,903,1021,860,7.28241391806241e-13,"ZNF805",252,1810
"ENSG00000166136",601,1096,2245,157,182,190,7.46254950882285e-13,"NDUFB8",253,23950
"ENSG00000080603",4084,2189,4470,668,553,458,7.63799296257689e-13,"SRCAP",254,12357
"ENSG00000265681",1429,7931,4094,222,163,121,7.63799296257689e-13,"RPL17",255,26144
"ENSG00000258659",188,227,2006,12,19,12,7.64154096896635e-13,"TRIM34",256,23151
"ENSG00000274425",98,162,276,1,6,9,7.6464264943e-13,"AC114271.1",257,NA
"ENSG00000173894",8,6,4,2439,427,1217,8.40606196119051e-13,"CBX2",258,-108
"ENSG00000234353",499,315,1683,73,40,26,9.08485289187839e-13,"AP000346.2",259,12148
"ENSG00000231259",129,91,146,0,0,0,9.65310207232979e-13,"ANAPC1P2",260,NA
"ENSG00000182108",0,0,1,943,802,550,9.92822675077213e-13,"DEXI",261,2493
"ENSG00000215837",83,82,281,0,0,0,1.05268315011683e-12,"SDHAP2",262,NA
"ENSG00000173846",3379,3888,5229,1140,1020,782,1.06971511339633e-12,"PLK3",263,-122
"ENSG00000267796",166,237,826,33,33,34,1.0819466897661e-12,"LIN37",264,2918
"ENSG00000079393",146,60,308,4,0,2,1.1652856121568e-12,"DUSP13",265,-169
"ENSG00000152463",16,1534,10095,5,1,3,1.16847028329657e-12,"OLAH",266,-144
"ENSG00000232729",2,6,4,345,360,582,1.22593503055202e-12,"AC211433.1",267,34
"ENSG00000105835",28167,67980,413224,3883,4569,1818,1.29258781201802e-12,"NAMPT",268,-179
"ENSG00000147872",27844,9000,14066,1214,1212,817,1.32644512257038e-12,"PLIN2",269,-151
"ENSG00000139890",255,499,847,59,17,24,1.34497122697845e-12,"REM2",270,-138
"ENSG00000125971",1018,1288,5284,124,102,213,1.43357228104331e-12,"DYNLRB1",271,22377
"ENSG00000267673",67,69,95,2,4,4,1.53130097722336e-12,"FDX2",272,NA
"ENSG00000172167",18,22,34,753,539,505,1.59909442195247e-12,"MTBP",273,-101
"ENSG00000280143",439,177,136,2,1,0,1.60893850781249e-12,"AP000892.4",274,NA
"ENSG00000174886",803,1233,2228,342,243,254,1.62259479336646e-12,"NDUFA11",275,6050
"ENSG00000128340",28886,29776,98528,6929,7691,8428,1.64787299295838e-12,"RAC2",276,-138
"ENSG00000127084",15340,11671,40729,3402,3993,2314,1.68845046119389e-12,"FGD3",277,-151
"ENSG00000109061",864,487,145,1,0,0,1.8189155441697e-12,"MYH1",278,-197
"ENSG00000224083",4,2,9,263,356,298,1.83334860612431e-12,"MTCO1P11",279,3
"ENSG00000103154",112,144,414,2,0,0,2.02581614453854e-12,"NECAB2",280,-183
"ENSG00000268362",16,38,182,6406,4538,7567,2.20424109481621e-12,"AC092279.1",281,72
"ENSG00000196091",718,197,372,0,3,8,2.24857830220509e-12,"MYBPC1",282,-240
